gene1	gene2	rearrangement_type	locus	disease	context	oncotree_term	oncotree_code	therapy_name	therapy_strategy	therapy_type	therapy_sensitivity	therapy_resistance	favorable_prognosis	predictive_implication	description	preferred_assertion	source_type	citation	url	doi	pmid	nct	last_updated
NTRK3		Translocation		Any solid tumor		Any solid tumor		Larotrectinib	TRK inhibition	Targeted therapy	1			FDA-Approved	"The U.S. Food and Drug Administration (FDA) granted approval for larotrectinib for the treatment of adult and pediatric with solid tumors that have NTRK gene fusions without a known resistance mechanism, are metastatic or surgical resection is likely to result in severe morbidity, and have no satisfactory alternative treatments or have progressed following treatment. Continued approval for this indication may be contingent upon veritifcation and description of clinical benefit in a confirmatory trials."		FDA	"Loxo Oncology, Inc. Vitrakvi (larotrectinib) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/210861s000lbl.pdf. Revised November 2018. Accessed November 12, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/210861s000lbl.pdf			NCT02122913	11/12/20
NTRK3		Translocation		Any solid tumor		Any solid tumor		Entrectinib	TRK inhibition	Targeted therapy	1			Clinical evidence	NTRK fusions may respond to NTRK inhibitors.		Journal	"Amatu A, Sartore-Bianchi A, Siena S. NTRK gene fusions as novel targets of cancer therapy across multiple tumour types. ESMO Open. 2016;1(2)."	https://doi.org/10.1136/esmoopen-2015-000023	10.1136/esmoopen-2015-000023	27843590		3/16/17
NTRK3		Fusion		Any solid tumor		Any solid tumor		Entrectinib	TRK inhibition	Targeted therapy	1			FDA-Approved	The U.S. Food and Drug Administration (FDA) granted approval for entrectinib for adult and pediatric patients 12 years or old with solid tumors that have a NTRK gene fusion without a known acquired resistance mutation.		FDA	"Genentech, Inc. Rozlytrek (entrectinib) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/212726s000lbl.pdf. Revised August 2019. Accessed November 12, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/212726s000lbl.pdf				11/12/20
PDGFRA				Myelodysplastic Syndromes		Myelodysplasia 	MDS	Imatinib	PDGF-R inhibition	Targeted therapy	1			FDA-Approved	The U.S. Food and Drug Administration (FDA) granted approval for imatinib for myelodysplastic / myeloproliferative diseases (MDS/MPD) associated with PDGFR (platelet-derived growth factor receptor) gene re-arrangements.		FDA	"Novartis Pharmaceuticals Corporation. Gleevec (imatinib) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021588s056s057lbl.pdf. Revised August 2020. Accessed November 12, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021588s056s057lbl.pdf				11/12/20
FIP1L1	PDGFRA	Fusion		Chronic Eosinophilic Leukemia		"Chronic Eosinophilic Leukemia, NOS"	CELNOS	Imatinib	PDGF-R inhibition	Targeted therapy	1			FDA-Approved	The U.S. Food and Drug Administration (FDA) granted approval for imatinib for adult patients with chronic eosinophilic leukemia (CEL) who have FIP1L1-PDGFRA fusions.		FDA	"Novartis Pharmaceuticals Corporation. Gleevec (imatinib) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021588s056s057lbl.pdf. Revised August 2020. Accessed November 12, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021588s056s057lbl.pdf				11/12/20
BCR	PDGFRA	Fusion		Chronic Myeloid Leukemia		Chronic Myelogenous Leukemia	CML	Imatinib	BCR-ABL inhibition + PDGF-R inhibition	Targeted therapy	1			Clinical evidence	A patient with a BCR--PDGFRA fusion observed rapid clinical and molecular response to imatinib.		Journal	"Trempat P, Villalva C, Laurent G, et al. Chronic myeloproliferative disorders with rearrangement of the platelet-derived growth factor  alpha receptor: a new clinical target for STI571/Glivec Oncogene. 2003; 22(36):5702-5706."	https://doi.org/10.1038/sj.onc.1206543	10.1038/sj.onc.1206543	12944919		3/19/19
PDGFRB				Myelodysplastic Syndromes		Myelodysplasia 	MDS	Imatinib	PDGF-R inhibition	Targeted therapy	1			FDA-Approved	The U.S. Food and Drug Administration (FDA) granted approval for imatinib for myelodysplastic/ myeloproliferative diseases (MDS/MPD) associated with PDGFR (platelet-derived growth factor receptor) gene re-arrangements.		FDA	"Novartis Pharmaceuticals Corporation. Gleevec (imatinib) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021588s056s057lbl.pdf. Revised August 2020. Accessed November 12, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021588s056s057lbl.pdf				11/12/20
PDGFRB		Translocation	5q31-33	Myelodysplastic Syndromes		Myelodysplasia 	MDS	Imatinib	PDGF-R inhibition	Targeted therapy	1			Guideline	PDGFRB translocations are associated with sensitivity to imatinib in Chronic Myelomonocytic Leuekmia.		Guideline	"National Comprehensive Cancer Network. Myelodysplastic Syndromes NCCN Evidence Blocks (Version 1.2017). https://www.nccn.org/professionals/physician_gls/pdf/mds_blocks.pdf. Accessed November 5, 2016."	https://www.nccn.org/professionals/physician_gls/pdf/mds_blocks.pdf				11/3/17
PDGFRB		Translocation	4p12	Myelodysplastic Syndromes		Myelodysplasia 	MDS	Imatinib	PDGF-R inhibition	Targeted therapy	1			Guideline	PDGFRB translocations are associated with sensitivity to imatinib in Chronic Myelomonocytic Leuekmia.		Guideline	"National Comprehensive Cancer Network. Myelodysplastic Syndromes NCCN Evidence Blocks (Version 1.2017). https://www.nccn.org/professionals/physician_gls/pdf/mds_blocks.pdf. Accessed November 5, 2016."	https://www.nccn.org/professionals/physician_gls/pdf/mds_blocks.pdf				11/3/17
RET				Non-Small Cell Lung Cancer	Metastatic	Non-Small Cell Lung Cancer	NSCLC	Cabozantinib	RET inhibition	Targeted therapy	1			Guideline	"Cabozantinib is an available targeted agent with activity against RET rearrangements in metastatic, NSCLC."		Guideline	"National Comprehensive Cancer Network. Non-Small Cell Lung Cancer NCCN Evidence Blocks (Version 5.2019). https://www.nccn.org/professionals/physician_gls/pdf/nscl_blocks.pdf. Accessed November 5, 2016."	https://www.nccn.org/professionals/physician_gls/pdf/nscl_blocks.pdf				8/12/19
RET				Non-Small Cell Lung Cancer	Metastatic	Non-Small Cell Lung Cancer	NSCLC	Vandetanib	RET inhibition	Targeted therapy	1			Guideline	"Vandetanib is an available targeted agent with activity against RET rearrangements in metastatic, NSCLC."		Guideline	"National Comprehensive Cancer Network. Non-Small Cell Lung Cancer NCCN Evidence Blocks (Version 5.2019). https://www.nccn.org/professionals/physician_gls/pdf/nscl_blocks.pdf. Accessed November 5, 2016."	https://www.nccn.org/professionals/physician_gls/pdf/nscl_blocks.pdf				8/12/19
RET		Fusion		Non-Small Cell Lung Cancer		Non-Small Cell Lung Cancer	NSCLC	Cabozantinib	RET inhibition	Targeted therapy	1			Clinical trial	Cabozantinib (a dual MET-VEGF inhibitor) is being evaluated for efficacy in patients with RET fusion-positive tumors.		Journal	"Drilon A, Wang L, Hasanovic A, et al. Response to Cabozantinib in patients with RET fusion-positive lung adenocarcinomas. Cancer Discov. 2013;3(6):630-5."	https://doi.org/10.1158/2159-8290.CD-13-0035	10.1158/2159-8290.CD-13-0035	23533264	NCT01639508	1/29/19
RET		Fusion		Non-Small Cell Lung Cancer	Metastatic	Non-Small Cell Lung Cancer	NSCLC	Selpercatinib	RET inhibition	Targeted therapy	1			FDA-Approved	The U.S. Food and Drug Administration (FDA) granted approval for selpercatinib for adult patients with metastatic RET fusion-positive non-small cell lung cancer (NSCLC). 		FDA	"Eli Lily and Company. Retevmo (selpercatinib) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/213246s000lbl.pdf. Revised May 2020. Accessed October 22, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/213246s000lbl.pdf				10/22/20
RET		Fusion		Thyroid Cancer	Advanced or metastatic	Anaplastic Thyroid Cancer	THAP	Selpercatinib	RET inhibition	Targeted therapy	1			FDA-Approved	The U.S. Food and Drug Administration (FDA) granted approval for selpercatinib for adult and pediatric patients 12 years of age and older with advanced or metastatic RET fusion-positive thyroid cancer who require systemic therapy and who are radioactive iodine-refactory (if radioactive iodine is appropriate). 		FDA	"Eli Lily and Company. Retevmo (selpercatinib) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/213246s000lbl.pdf. Revised May 2020. Accessed October 22, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/213246s000lbl.pdf				10/22/20
RET		Fusion		Non-Small Cell Lung Cancer	Metastatic	Non-Small Cell Lung Cancer	NSCLC	Pralsetinib	RET inhibition	Targeted therapy	1			FDA-Approved	The U.S. Food and Drug Administration (FDA) granted approval for pralsetinib for adult patients with metastatic rearranged during transfection (RET) fusion-positive non-small cell lung cancer (NSCLC) as detected by an FDA approved test.		FDA	"Blueprint Medicines Corporation. Gavreto (pralsetinib) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/213721s000lbl.pdf. Revised May 2020. Accessed October 22, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/213721s000lbl.pdf				11/4/20
RET		Fusion		Thyroid Cancer	Advanced or metastatic	Anaplastic Thyroid Cancer	THAP	Pralsetinib	RET inhibition	Targeted therapy	1			FDA-Approved	The U.S. Food and Drug Administration granted accelerated approval to pralsetinib for adult and pediatric patients 12 years of age and older with advanced or metastatic RET fusion-positive thyroid cancer who require systemic therapy or who are radioactive iodine-refractory (if radioactive iodine is appropriate).		FDA	"Blueprint Medicines Corporation. Gavreto (pralsetinib) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/214701s000lbl.pdf. Revised 12/2020. Accessed December 3, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/214701s000lbl.pdf				12/3/20
ROS1		Fusion		Non-Small Cell Lung Cancer	Metastatic	Non-Small Cell Lung Cancer	NSCLC	Crizotinib	MET inhibition	Targeted therapy	1			FDA-Approved	The U.S. Food and Drug Administration (FDA) granted approval for crizotinib for patients with ROS positive metastatic non-small cell lung cancer (NSCLC).		FDA	"Pfizer, Inc. Xalkori (crizotinib) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/202570s028lbl.pdf. Revised June 2016. Accessed November 12, 2020. "	https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/202570s028lbl.pdf				11/12/20
ROS1		Fusion		Non-Small Cell Lung Cancer	Metastatic	Non-Small Cell Lung Cancer	NSCLC	Entrectinib	ROS inhibition	Targeted therapy	1			FDA-Approved	The U.S. Food and Drug Administration (FDA) granted approval for entrectinib for adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors are ROS1-positive. 		FDA	"Genentech, Inc. Rozlytrek (entrectinib) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/212726s000lbl.pdf. Revised August 2019. Accessed November 12, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/212726s000lbl.pdf				11/12/20
RUNX1	RUNX1T1	Fusion		Myelodysplastic Syndromes		Myelodysplasia 	MDS	Azacitidine + Panobinostat	Hypomethylating agent chemotherapy + HDAC inhibition	Combination therapy	1			Preclinical	"t(8;21)(q22;q22) results in the expression of fusion protein RUNX1-RUNX1T1, which recruits histone deacetylases (HDAC) to silence RUNX1 target genes (such as IL-3). Combined use of HDAC inhibitors and DNMT inhibitors may rescue RUNX1 target genes."		Guideline	"National Comprehensive Cancer Network. Myelodysplastic Syndromes NCCN Evidence Blocks (Version 1.2017). https://www.nccn.org/professionals/physician_gls/pdf/mds_blocks.pdf. Accessed November 5, 2016."	https://www.nccn.org/professionals/physician_gls/pdf/mds_blocks.pdf		15735013		2/4/19
SLC45A3	BRAF	Fusion		Prostate Cancer		Prostate Adenocarcinoma	PRAD	Sorafenib	RAF inhibition	Targeted therapy	1			Preclinical	Rearrangements in BRAF are rare but may result in dependencies that can be targeted with RAF and MAP2K1 inhibitors.		Journal	"Palanisamy N, Ateeq B, Kalyana-sundaram S, et al. Rearrangements of the RAF kinase pathway in prostate cancer, gastric cancer and melanoma. Nat Med. 2010;16(7):793-8."	https://doi.org/10.1038/nm.2166	10.1038/nm.2166	20526349		3/7/19
SLC45A3	BRAF	Fusion		Prostate Cancer		Prostate Adenocarcinoma	PRAD	U0126	MEK inhibition	Targeted therapy	1			Preclinical	Rearrangements in BRAF are rare but may result in dependencies that can be targeted with RAF and MAP2K1 inhibitors.		Journal	"Palanisamy N, Ateeq B, Kalyana-sundaram S, et al. Rearrangements of the RAF kinase pathway in prostate cancer, gastric cancer and melanoma. Nat Med. 2010;16(7):793-8."	https://doi.org/10.1038/nm.2166	10.1038/nm.2166	20526349		3/7/19
TMPRSS2	ERG	Fusion		Prostate Cancer		Prostate Adenocarcinoma	PRAD	Rucaparib	PARP inhibition	Targeted therapy	1			Preclinical	"Cells which harbored the TMPRSS2-ERG fusion became radiosensitive following radiation and PARP inhibitor, specifically Rucaparib."		Journal	"Chatterjee P, Choudhary GS, Sharma A, et al. PARP inhibition sensitizes to low dose-rate radiation TMPRSS2-ERG fusion gene-expressing and PTEN-deficient prostate cancer cells. PLoS ONE. 2013;8(4):e60408."	https://doi.org/10.1371/journal.pone.0060408	10.1371/journal.pone.0060408	23565244		11/3/17
TMPRSS2	ERG	Fusion		Prostate Cancer		Prostate Adenocarcinoma	PRAD						0	Clinical evidence	A cohort of men with localized prostate cancer was followed and a statistically significant association between the presense of the TMPRSS2-ERG fusion and prostate cancer specific death was observed. Prostate cancer with this fusion may be of a more aggressive phenotype.		Journal	"Demichelis F, Fall K, Perner S, et al. TMPRSS2:ERG gene fusion associated with lethal prostate cancer in a watchful waiting cohort. Oncogene. 2007;26(31):4596-9."	https://doi.org/10.1038/sj.onc.1210237	10.1038/sj.onc.1210237	17237811		11/3/17
TMPRSS2	ERG	Fusion		Prostate Cancer		Prostate Adenocarcinoma	PRAD	Abiraterone	Antiandrogen	Hormone therapy	0			Clinical trial	ETS fusions did not have a better response to AR suppression and PARP inhibition.		Journal	"Hussain M, Daignault-newton S, Twardowski PW, et al. Targeting Androgen Receptor and DNA Repair in Metastatic Castration-Resistant Prostate Cancer: Results From NCI 9012. J Clin Oncol. 2018;36(10):991-999."	https://doi.org/10.1200/JCO.2017.75.7310	10.1200/JCO.2017.75.7310	29261439	NCT01576172	1/29/19
TMPRSS2	ERG	Fusion		Prostate Cancer		Prostate Adenocarcinoma	PRAD	Veliparib	PARP inhibition	Targeted therapy	0			Clinical trial	ETS fusions did not have a better response to AR suppression and PARP inhibition.		Journal	"Hussain M, Daignault-newton S, Twardowski PW, et al. Targeting Androgen Receptor and DNA Repair in Metastatic Castration-Resistant Prostate Cancer: Results From NCI 9012. J Clin Oncol. 2018;36(10):991-999."	https://doi.org/10.1200/JCO.2017.75.7310	10.1200/JCO.2017.75.7310	29261439	NCT01576172	1/29/19
